"NO_TABELA_CARGA","NU_SISTEMA","NO_MODULO","NU_WORKFLOW","CO_PERIODICIDADE"
"auttbp15_limitepre",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp14_loglmecnl",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp13_loglmesro",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp07_mvmtodro",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"atrtb091_comando_transacao",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb081_atrzo_trnso_asnta",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb031_contatev",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb021_tev",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb020_srvcocnl",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb018_tipolncmo",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb014_cifauto",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"d08tbt48_hstro_pcte_prpre",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt42_pacote_versao",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt31_tarifaprpre",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt01_trfasrvco",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"tab_taxa",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_sub_limite",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_processo",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_parametro_fundo",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_ordem_bancaria",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_funcao_operacao",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tagtbi10_prcsocnlo",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"tagtbi06_espcletco",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"decint006_conta_marca",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"decint010_conta_informacao_periodo",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"decint008_inadimplencia",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"decint002_cheque_posse_cliente",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"opimtv09_dominio",1143,"EXTRACAO DE DADOS DO SIOPI",1007,"Eventual"
"decint002_cheque_posse_cliente",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"opimtv02_participante",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"aoimq13_prestacao_atrasada",3138,"HAWQ CARGA SISTEMA SIAOI",3008,"Eventual"
"aoimq07_contrato_objeto",3138,"HAWQ CARGA SISTEMA SIAOI",3008,"Eventual"
"autxtb06dadoscnpj",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"autxtb01docto",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
